                      row                column                       cor
1          Patronage_Tram Updated_Patronage_Bus  0.1850862819421427440947
2          Patronage_Tram                ln_Bus  0.2594449207249349687032
3   Updated_Patronage_Bus                ln_Bus  0.5244157955706471030410
4          Patronage_Tram               ln_Tram  0.7049817909735048848674
5   Updated_Patronage_Bus               ln_Tram  0.2275868470806945709217
6                  ln_Bus               ln_Tram  0.3303401600074791777395
7          Patronage_Tram               X13_PBN -0.0781384400076241547595
8   Updated_Patronage_Bus               X13_PBN  0.0145517294170560574501
9                  ln_Bus               X13_PBN -0.0465859331538032300779
10                ln_Tram               X13_PBN -0.2123538366601625815289
11         Patronage_Tram           X17_ACCount  0.1844891289473441775559
12  Updated_Patronage_Bus           X17_ACCount  0.2045129517718042022612
13                 ln_Bus           X17_ACCount  0.1532809385996809214969
14                ln_Tram           X17_ACCount  0.2132081512192663397265
15                X13_PBN           X17_ACCount  0.1667169691451180213448
16         Patronage_Tram            X18_ACNear -0.2019195935871085645363
17  Updated_Patronage_Bus            X18_ACNear -0.1423824062931582090652
18                 ln_Bus            X18_ACNear -0.0637862958827970921716
19                ln_Tram            X18_ACNear -0.1961162154795780265815
20                X13_PBN            X18_ACNear -0.4035508868725286579782
21            X17_ACCount            X18_ACNear -0.5551035115105378281442
22         Patronage_Tram               X20_LOS  0.6634626069418041449666
23  Updated_Patronage_Bus               X20_LOS  0.5406149103661959109957
24                 ln_Bus               X20_LOS  0.4447265638634301243570
25                ln_Tram               X20_LOS  0.5718784015873960013820
26                X13_PBN               X20_LOS  0.0017437768977055984922
27            X17_ACCount               X20_LOS  0.2253175533049247281081
28             X18_ACNear               X20_LOS -0.2031791897330960938728
29         Patronage_Tram           X21_PropFTE -0.0866309254162345027117
30  Updated_Patronage_Bus           X21_PropFTE -0.0812149794298191729514
31                 ln_Bus           X21_PropFTE -0.0677299248445848017797
32                ln_Tram           X21_PropFTE -0.0054784202332326219220
33                X13_PBN           X21_PropFTE  0.3608390804089699477331
34            X17_ACCount           X21_PropFTE  0.1832203715796032472696
35             X18_ACNear           X21_PropFTE -0.3708479489507272019999
36                X20_LOS           X21_PropFTE  0.0118664019589380144437
37         Patronage_Tram            X22_MedInc -0.1292268665778828762303
38  Updated_Patronage_Bus            X22_MedInc -0.1576363991997508651188
39                 ln_Bus            X22_MedInc -0.1424077805709741129103
40                ln_Tram            X22_MedInc -0.0606252903218374161742
41                X13_PBN            X22_MedInc  0.3476693010640297121228
42            X17_ACCount            X22_MedInc  0.1028947138635102898085
43             X18_ACNear            X22_MedInc -0.2665594883872861031726
44                X20_LOS            X22_MedInc -0.1095451807334571620034
45            X21_PropFTE            X22_MedInc  0.8339619560201917414233
46         Patronage_Tram          X23_MeanSize -0.1440846832554894263456
47  Updated_Patronage_Bus          X23_MeanSize  0.0147933701702203865280
48                 ln_Bus          X23_MeanSize  0.0023013565184929790815
49                ln_Tram          X23_MeanSize -0.1213287357885041578553
50                X13_PBN          X23_MeanSize -0.2441854094477423908760
51            X17_ACCount          X23_MeanSize -0.2384715945413684312637
52             X18_ACNear          X23_MeanSize  0.4299388292822971524565
53                X20_LOS          X23_MeanSize -0.1701309381920821373058
54            X21_PropFTE          X23_MeanSize -0.6580873855839263208978
55             X22_MedInc          X23_MeanSize -0.5259390268743341367852
56         Patronage_Tram               Factor1  0.4002047429533391875722
57  Updated_Patronage_Bus               Factor1  0.3390553682192353757152
58                 ln_Bus               Factor1  0.2366767741679767500518
59                ln_Tram               Factor1  0.3814313838574070469889
60                X13_PBN               Factor1  0.1582670898558243555154
61            X17_ACCount               Factor1  0.3838709793327108044103
62             X18_ACNear               Factor1 -0.3596834844686484511378
63                X20_LOS               Factor1  0.3889885408514392461932
64            X21_PropFTE               Factor1  0.1942587458071789729974
65             X22_MedInc               Factor1  0.1911317142446936068190
66           X23_MeanSize               Factor1 -0.2851047471825979839899
67         Patronage_Tram               Factor2  0.2602364438026165682771
68  Updated_Patronage_Bus               Factor2 -0.1294227200362753904539
69                 ln_Bus               Factor2  0.0328647117284368503465
70                ln_Tram               Factor2  0.1983127443648171617241
71                X13_PBN               Factor2  0.0401931110612585157371
72            X17_ACCount               Factor2  0.0239843050927497497549
73             X18_ACNear               Factor2 -0.1613092542215265323691
74                X20_LOS               Factor2  0.1149123809261726469888
75            X21_PropFTE               Factor2  0.2429942618932035558466
76             X22_MedInc               Factor2  0.2363776554434042775910
77           X23_MeanSize               Factor2 -0.3901087087044551315884
78                Factor1               Factor2  0.0000000000000001674778
79         Patronage_Tram               Factor3  0.0842946023899033836102
80  Updated_Patronage_Bus               Factor3 -0.0171010888509635812504
81                 ln_Bus               Factor3  0.0123213324330655130817
82                ln_Tram               Factor3  0.0510130497134176283391
83                X13_PBN               Factor3  0.3778556637437261445100
84            X17_ACCount               Factor3  0.1068314846681841373544
85             X18_ACNear               Factor3 -0.2811325972655596694416
86                X20_LOS               Factor3  0.0846620931263691867130
87            X21_PropFTE               Factor3  0.2586554457501255011032
88             X22_MedInc               Factor3  0.0801458152844931881464
89           X23_MeanSize               Factor3 -0.1151366952065706328323
90                Factor1               Factor3 -0.0000000000000033534155
91                Factor2               Factor3 -0.0000000000000031902489
92         Patronage_Tram               Factor4 -0.1298798715700268391338
93  Updated_Patronage_Bus               Factor4  0.0322943349557519646109
94                 ln_Bus               Factor4  0.0568127869156943160478
95                ln_Tram               Factor4 -0.1789823417699930585556
96                X13_PBN               Factor4  0.1625493433559907496821
97            X17_ACCount               Factor4  0.1562442754473866157738
98             X18_ACNear               Factor4 -0.1401022245120633891169
