OBJECTID,Sample_buffer_ID,Alt_ID,Sample_ID,Radius,OBJECTID,Set_Sample_ID,Type,Shape_Length (sqkm),Shape_Area (sqkm),Train,Tram,Bus,Patronage_Train,Patronage_Tram,Updated_Patronage_Bus,SS_Patronage_Bus,1_Emp,2_EmpDen,3_Pop,4_PopDen,5_Dwelling,6_ActDen,7_PropComm,8_RetailEmp,9_Balance,10_Entropy,11_HousingDiv,12_Intersections,13_PBN,14_DestScore,15_DestCount,16_DistCBD,17_ACCount,18_ACNear,19_FTZ,20_LOS,21_PropFTE,22_MedInc,23_MeanSize,24_Urban,25_Rural,26_Access,27_IntDensity
339,20-800,20-800-D,20,800,339,D,Trainbus,5.855276133,1.612674742,1,0,13,7338.494817,0,3684.7,2819.954507,588.5810856,364.9719751,3835.952975,2378.627801,783.1066735,2743.599776,0.088950584,77.1035653,0.900643688,0.20762549,6,405,72.43951658,8,83,29154.24718,1,521.4384132,0,542.5384615,0.542879418,150,3.037425017,0.753486946,0,47626.16897,251.1355759
1693,20-600,20-600-C,20,600,1693,C,Trainbus,3.8877062,0.824910279,1,0,13,7338.494817,0,3684.7,2819.954507,301.0691338,364.9719751,1430.37122,1733.971871,578.1063132,2098.943846,0.065769712,77.1035653,0.929234096,0.174722437,6,268,72.43951658,7,47,29154.24718,1,521.4384132,0,542.5384615,0.550070522,300,2.999399645,0.818306709,0,47626.16897,324.8838168
1879,20-400,20-400-C,20,400,1879,C,Trainbus,2.730511801,0.381032716,1,0,13,7338.494817,0,3684.7,2819.954507,139.066263,364.9719751,533.6541751,1400.546863,493.7477427,1765.518838,0.085860811,77.1035653,0.958908385,0.135492879,6,159,72.43951658,5,23,29154.24718,0,521.4384132,0,542.5384615,0.576732673,300,2.836563576,0.890260996,0,47626.16897,417.2870027
1943,20-800,20-800-C,20,800,1943,C,Trainbus,5.451548078,1.390039216,1,0,13,7338.494817,0,3684.7,2819.954507,507.325358,364.9719751,3076.817356,2213.475218,731.4449334,2578.447193,0.077508715,77.1035653,0.907632019,0.201907458,6,405,72.43951658,8,73,29154.24718,1,521.4384132,0,542.5384615,0.549446975,150,3.026167955,0.764233715,0,47626.16897,291.3586864
49,113-400,113-400-D,113,400,49,D,Trainbus,3.074131297,0.449387318,1,0,10,7043.636633,0,1494.4,1974.912749,365.6014512,813.5553374,840.4923844,1870.307306,595.4948369,2683.862644,0.432001189,197.3664117,0.909449816,0.160198153,6,123,67.53701083,8,58,11848.47543,0,645.2425516,0,335.1538462,0.490546218,300,3.140761582,0.983259301,0,168570.6585,273.7059883
50,113-600,113-600-D,113,600,50,D,Trainbus,4.103454783,0.947649023,1,0,10,7043.636633,0,1494.4,1974.912749,770.9648842,813.5552992,1777.283973,1875.466475,600.3412167,2689.021775,0.340101194,197.3664024,0.81863367,0.167501099,7,181,67.53701083,8,91,11848.47543,0,645.2425516,0,335.1538462,0.5,150,3.124000857,0.958149345,0,168570.6585,190.9989834
51,113-800,113-800-D,113,800,51,D,Trainbus,5.571840438,1.60383461,1,0,10,7043.636633,0,1494.4,1974.912749,1275.494436,795.2780343,3356.926361,2093.062676,688.5816268,2888.340711,0.297155505,192.6139966,0.742778439,0.171402555,7,258,67.53701083,8,121,11848.47543,1,645.2425516,0,335.1538462,0.507787448,150,3.03967256,0.922208972,0,168570.6585,160.8644672
2222,113-800,113-800-C,113,800,2222,C,Trainbus,5.073018703,1.433499702,1,0,10,7043.636633,0,1494.4,1974.912749,1148.776054,801.3786486,2913.029112,2032.110022,661.926286,2833.488671,0.308972343,194.2042356,0.759020554,0.169504958,7,258,67.53701083,8,116,11848.47543,1,645.2425516,0,335.1538462,0.507642998,150,3.069994447,0.934935246,0,168570.6585,179.9791096
2609,113-600,113-600-C,113,600,2609,C,Trainbus,3.703736757,0.832754565,1,0,10,7043.636633,0,1494.4,1974.912749,677.4919216,813.5553385,1557.597953,1870.416589,595.9773527,2683.971928,0.358893127,197.366412,0.8384511,0.164715098,7,181,67.53701083,8,87,11848.47543,0,645.2425516,0,335.1538462,0.5,150,3.138402124,0.967552742,0,168570.6585,217.350955
3107,113-400,113-400-C,113,400,3107,C,Trainbus,2.660553896,0.366469843,1,0,10,7043.636633,0,1494.4,1974.912749,298.1434971,813.5553378,690.6044342,1884.47821,597.3784518,2698.033548,0.476670087,197.3664118,0.926074635,0.157612403,6,123,67.53701083,8,54,11848.47543,0,645.2425516,0,335.1538462,0.490546218,300,3.154580157,0.985947646,0,168570.6585,335.6347114
